"country","suicideRank","total","male","female","totalNumber"
"lithuania","1","31.9000","58.1000","9.5000","894"
"russia","2","31","55.9000","9.4000","45178"
"guyana","3","29.2000","43.7000","14.4000","227"
"south korea","4","26.9000","38.4000","15.4000","13765"
"belarus","5","26.2000","46.9000","8.2000","2477"
"suriname","6","22.8000","34.7000","10.9000","131"
"kazakhstan","7","22.5000","38.3000","7.6000","4122"
"ukraine","8","22.4000","41.1000","6.3000","9911"
"latvia","9","21.2000","37.6000","7.3000","409"
"lesotho","10","21.2000","17.8000","24.4000","447"
"belgium","11","20.7000","27.8000","13.8000","2377"
"hungary","12","19.1000","29.7000","9.6000","1854"
"slovenia","13","18.6000","30.4000","6.9000","386"
"japan","14","18.5000","26","11.4000","23532"
"uruguay","15","18.4000","29.2000","8.3000","635"
"estonia","16","17.8000","30.6000","6.6000","235"
"france","17","17.7000","23.9000","11.7000","11503"
"switzerland","18","17.2000","22","12.4000","1466"
"croatia","19","16.5000","25.6000","7.9000","686"
"equatorial guinea","20","16.4000","23.5000","7.7000","215"
"india","21","16.3000","17.8000","14.7000","220481"
"poland","22","16.2000","28.9000","4.3000","6143"
"finland","23","15.9000","23.9000","8.1000","878"
"moldova","24","15.9000","27.9000","4.7000",""
"austria","25","15.6000","23.9000","7.7000","1387"
"serbia","26","15.6000","23.5000","8.1000","1373"
"united states","27","15.3000","23.6000","7.2000",""
"sweden","28","14.8000","19.1000","10.5000","1476"
"sri lanka","29","14.6000","23.5000","6.4000","3099"
"Ivory Coast","30","14.5000","20.6000","8.3000",""
"kiribati","31","14.4000","24.1000","5","17"
"thailand","32","14.4000","23.4000","5.9000","9998"
"iceland","33","14","22.3000","5.6000","47"
"portugal","34","14","22.2000","6.5000","1436"
"cuba","35","13.9000","22.1000","5.8000","1576"
"el salvador","36","13.7000","24.2000","4.5000","880"
"germany","37","13.6000","19.7000","7.7000","11305"
"trinidad and tobago","38","13.6000","23","4.5000","189"
"luxembourg","39","13.5000","18.6000","8.3000","82"
"Swaziland","40","13.3000","19.5000","7.5000",""
"australia","41","13.2000","19.5000","7","3287"
"czech republic","42","13.1000","21.4000","5.1000",""
"mongolia","43","13","22.6000","3.5000","412"
"denmark","44","12.8000","17.3000","8.2000","736"
"slovakia","45","12.8000","22.7000","3.5000","698"
"netherlands","46","12.6000","16.2000","9","2150"
"canada","47","12.5000","18.1000","7","4634"
"bolivia","48","12.2000","15.8000","8.6000",""
"cameroon","49","12.2000","17.1000","7.4000","3076"
"nicaragua","50","12.2000","19.3000","5.3000","789"
"norway","51","12.2000","15.9000","8.4000","651"
"new zealand","52","12.1000","17.9000","6.6000","574"
"haiti","53","11.7000","17","6.5000","1301"
"south africa","54","11.6000","18.7000","4.7000","6704"
"bulgaria","55","11.5000","18.2000","5.1000","811"
"ireland","56","11.5000","18.5000","4.6000","554"
"bhutan","57","11.4000","14","8.5000","86"
"cape verde","58","11.3000","16.5000","6.1000",""
"north korea","59","11.2000","14.1000","8.5000","2862"
"micronesia","60","11.1000","15.8000","6.3000",""
"zimbabwe","61","10.7000","15.7000","6","1545"
"chile","62","10.6000","17.2000","4","1985"
"romania","63","10.4000","17.9000","3.3000","2029"
"montenegro","64","10.3000","15.4000","5.3000","65"
"benin","65","9.9000","13.9000","5.9000","1137"
"dominican republic","66","9.9000","16.8000","3.1000","1052"
"singapore","67","9.9000","13.8000","6.1000","570"
"uganda","68","9.9000","10.7000","9.1000","4230"
"china","69","9.7000","9.1000","10.3000","138482"
"sierra leone","70","9.7000","11.3000","8.1000","742"
"togo","71","9.6000","12.8000","6.4000","757"
"nigeria","72","9.5000","9.9000","9.2000","18608"
"paraguay","73","9.5000","12.4000","6.5000","661"
"botswana","74","9.3000","14.2000","4.5000","210"
"seychelles","75","9.3000","16.4000","2.4000","9"
"argentina","76","9.2000","15.1000","3.5000","4081"
"burundi","77","9.1000","13.4000","4.9000","1017"
"united kingdom","78","8.9000","13.5000","4.4000",""
"bosnia and herzegovina","79","8.8000","14.1000","3.6000","293"
"chad","80","8.8000","10.3000","7.4000","1362"
"nepal","81","8.8000","9.7000","7.9000","2472"
"namibia","82","8.7000","14.1000","3.6000","213"
"spain","83","8.7000","13.1000","4.5000","4062"
"laos","84","8.6000","11.4000","5.7000",""
"yemen","85","8.5000","11.3000","5.6000","2422"
"kyrgyzstan","86","8.3000","13.2000","3.5000","523"
"georgia","87","8.2000","14.2000","2.7000","328"
